LSOA code,Predicted_Hotspot_Probability
E01001479,0.9592606
E01003169,0.9592214
E01001337,0.9591888
E01000977,0.9591798
E01000975,0.95916075
E01033586,0.95906657
E01000835,0.9590129
E01003043,0.9589783
E01002379,0.95891297
E01032769,0.958908
E01000001,0.95884776
E01002030,0.95820934
E01000239,0.95761526
E01002361,0.9574046
E01001581,0.9572377
E01000891,0.9572118
E01001273,0.95698404
E01002876,0.95670307
E01003274,0.95661515
E01002859,0.9565835
E01002839,0.9563692
E01034219,0.9563376
E01034203,0.9562706
E01004028,0.9561147
E01003196,0.95598984
E01000974,0.95590657
E01002005,0.95586944
E01003335,0.9555092
E01001535,0.9554096
E01001891,0.9553986
E01000131,0.9553135
E01000969,0.9552692
E01002595,0.95496136
E01000200,0.95474553
E01001705,0.9545895
E01002720,0.9545543
E01002855,0.9540535
E01000008,0.9535244
E01033929,0.95325685
E01003869,0.9527995
E01002226,0.9527712
E01000878,0.9526078
E01000494,0.9526039
E01000308,0.9524416
E01001763,0.9523986
E01002594,0.9523064
E01001673,0.95204073
E01000264,0.951703
E01000192,0.951649
E01004451,0.9515058
E01004526,0.95146257
E01004565,0.9514314
E01000856,0.9510501
E01002353,0.95086294
E01001792,0.9508221
E01000082,0.9507784
E01003159,0.9507261
E01001953,0.95069385
E01004536,0.95064896
E01002779,0.9506194
E01002719,0.9505811
E01003214,0.95057964
E01000307,0.9505763
E01000746,0.9500412
E01004494,0.95001847
E01003876,0.94991875
E01001309,0.9497745
E01001458,0.94973475
E01000090,0.9496481
E01001037,0.949529
E01004638,0.94938606
E01003389,0.9493032
E01002598,0.9492725
E01001094,0.94921017
E01003071,0.9491683
E01000229,0.94903505
E01003209,0.94886005
E01002020,0.9487364
E01000874,0.9485988
E01001089,0.9484924
E01000233,0.9484531
E01004038,0.94838685
E01001344,0.9483298
E01003549,0.94744265
E01004710,0.947414
E01001118,0.94711053
E01001735,0.9470949
E01003851,0.9467475
E01004042,0.9466613
E01034185,0.9466227
E01034616,0.9462647
E01001714,0.9460858
E01003816,0.945909
E01002873,0.9453461
E01002903,0.9446989
E01034602,0.9445918
E01003017,0.9443536
E01004722,0.9440776
E01035679,0.9438493
E01004228,0.9436944
E01001501,0.9435922
E01004564,0.9435652
E01000859,0.9430555
E01003935,0.9426774
E01001699,0.9420237
E01002629,0.9416535
E01003523,0.94145447
E01003255,0.9409346
E01003288,0.94070226
E01000243,0.94044054
E01034478,0.9400465
E01035494,0.93995893
E01001884,0.9394064
E01004684,0.93934834
E01001946,0.9391154
E01002593,0.93875116
E01004617,0.9386768
E01003183,0.93835694
E01000906,0.93799084
E01000885,0.9378297
E01000779,0.9377435
E01034609,0.93750286
E01003177,0.9369581
E01000509,0.93681395
E01001485,0.93638074
E01000070,0.936258
E01001863,0.936171
E01002867,0.9360189
E01002041,0.93599564
E01000203,0.93568426
E01004639,0.9349224
E01033784,0.9345672
E01001758,0.9342334
E01001984,0.9341639
E01001708,0.93374705
E01033865,0.9336938
E01002472,0.9334149
E01002808,0.9326323
E01001724,0.9325416
E01001744,0.9319162
E01004016,0.93186283
E01000296,0.9316924
E01004033,0.9312212
E01004205,0.93066823
E01003645,0.93059564
E01001388,0.9305726
E01004492,0.9304877
E01002073,0.93035364
E01003942,0.93022805
E01001851,0.92971414
E01002713,0.929687
E01001999,0.92921394
E01003213,0.9288572
E01000099,0.9282126
E01034189,0.9277646
E01002308,0.9274746
E01000315,0.9272341
E01000160,0.9270764
E01004409,0.92670715
E01003503,0.9266372
E01004193,0.92552555
E01003714,0.92482966
E01004649,0.9246654
E01002233,0.92353714
E01002698,0.92221
E01004066,0.92140365
E01001903,0.920939
E01001912,0.92047316
E01004674,0.919903
E01002778,0.91931576
E01003815,0.9190145
E01002065,0.917993
E01000237,0.91653174
E01001833,0.9161535
E01003048,0.91568965
E01001441,0.91568136
E01004271,0.9145742
E01034033,0.91448325
E01002042,0.9134965
E01001534,0.91253674
E01003223,0.9124468
E01003767,0.91002524
E01001359,0.9096226
E01002791,0.9092447
E01003839,0.90916055
E01003313,0.90913916
E01002397,0.9087357
E01004724,0.90854806
E01002882,0.9061576
E01004037,0.906115
E01003334,0.9060702
E01035645,0.9058658
E01002189,0.9056817
E01034206,0.90564877
E01035721,0.90400034
E01000003,0.90383095
E01002620,0.903167
E01003945,0.9030601
E01003081,0.90090543
E01004251,0.9008501
E01002075,0.9000375
E01000601,0.8987394
E01004074,0.8977956
E01000533,0.89738846
E01035486,0.8957532
E01002825,0.89358276
E01035708,0.8933669
E01033324,0.8902158
E01033883,0.88953954
E01003248,0.8841624
E01001741,0.88288146
E01034222,0.8825836
E01002574,0.8823419
E01035699,0.8807641
E01001381,0.8793451
E01002282,0.8727456
E01000644,0.8684333
E01003112,0.86718166
E01000551,0.86470705
E01004575,0.8598956
E01000710,0.8591794
E01003393,0.8474446
E01001527,0.84556335
E01003792,0.8365168
E01002848,0.8362033
E01003302,0.83585775
E01001410,0.83430237
E01003542,0.8280959
E01001260,0.81588084
E01000521,0.80613405
E01004040,0.7996243
E01001529,0.7951315
E01000526,0.79274255
E01002067,0.7836343
E01001769,0.78293943
E01004316,0.77638143
E01003554,0.77521515
E01003321,0.7731954
E01000081,0.77224934
E01000491,0.7682585
E01002856,0.76227427
E01004412,0.7533461
E01000096,0.7485194
E01035655,0.7439435
E01004708,0.73849684
E01001489,0.7367803
E01003448,0.7324557
E01004039,0.7322917
E01001085,0.7260156
E01004660,0.72490424
E01002345,0.7177541
E01002836,0.7109079
E01001973,0.7095948
E01000923,0.70951885
E01000138,0.7017654
E01003478,0.7010332
E01002066,0.69844675
E01002733,0.6971039
E01000555,0.68932056
E01035646,0.6891915
E01000895,0.68794453
E01002706,0.6848246
E01000145,0.6802489
E01003986,0.67806196
E01001923,0.67225033
E01000961,0.6708988
E01001167,0.643953
E01002814,0.6277231
E01035491,0.6160561
E01003558,0.61214954
E01002771,0.6093931
E01004756,0.60087323
E01003855,0.5962375
E01003122,0.5955909
E01004517,0.59225386
E01003784,0.58941656
E01004411,0.5780181
E01034608,0.56966984
E01001528,0.5696638
E01004742,0.56666106
E01000558,0.5665611
E01001371,0.5649448
E01002064,0.56403005
E01000952,0.56367046
E01001572,0.5621995
E01001261,0.5528429
E01000871,0.5522027
E01001798,0.55096537
E01034481,0.5494673
E01002643,0.54859877
E01004348,0.53578687
E01004748,0.53521156
E01003092,0.5280392
E01003972,0.5272781
E01003264,0.5268399
E01002729,0.5212347
E01003292,0.5208196
E01035702,0.5117474
E01001301,0.5071251
E01001767,0.49494645
E01033881,0.4890444
E01000208,0.48888206
E01000416,0.4854213
E01000219,0.46572298
E01002866,0.46502143
E01000964,0.46481296
E01001500,0.45279267
E01001829,0.44380346
E01001373,0.43934116
E01003512,0.4338834
E01034182,0.43319222
E01033030,0.42735633
E01002344,0.41773248
E01035696,0.41417584
E01003341,0.41355103
E01000912,0.4099379
E01004058,0.3966425
E01033872,0.39618182
E01000898,0.389644
E01034218,0.38724783
E01001137,0.37717393
E01035715,0.37621507
E01000305,0.37311882
E01001476,0.37187773
E01003089,0.36878416
E01033877,0.3603882
E01002051,0.35828567
E01002048,0.35242188
E01002319,0.34966147
E01034032,0.34908256
E01002248,0.34341815
E01001922,0.3413019
E01002802,0.34061784
E01000841,0.3384245
E01000105,0.33507854
E01003066,0.32902503
E01000220,0.32883757
E01001360,0.32487833
E01001393,0.31663007
E01001349,0.31114945
E01034029,0.30748078
E01000222,0.30693
E01001965,0.30383903
E01001753,0.30211535
E01002313,0.30003652
E01004114,0.29929498
E01001800,0.29748902
E01003630,0.29136002
E01002714,0.287298
E01004377,0.28715906
