LSOA code,Burglary_Count,Borough,longitude,latitude,Cumulative,Cumulative_Percent
E01001989,47,Haringey,-0.1312200289481641,51.58165805832324,46040,31.802608311229
E01001181,47,Croydon,-0.1131932081713476,51.388098749375786,46087,31.835074049513707
E01003935,47,Southwark,-0.0966404756817818,51.50751117901558,46134,31.86753978779841
E01003918,47,Southwark,-0.0896651044844866,51.47726599413745,46181,31.900005526083113
E01003937,47,Southwark,-0.0965847833490257,51.49798480356053,46228,31.932471264367816
E01003213,47,Lewisham,-0.0304366786188587,51.46477228551285,46275,31.964937002652523
E01034211,47,Newham,0.0120083691471952,51.50724156044421,46322,31.997402740937225
E01003888,47,Richmond upon Thames,-0.3427339568592355,51.42089931621571,46369,32.02986847922193
E01002789,47,Islington,-0.1328543130639982,51.55566992337792,46416,32.06233421750663
E01003478,47,Merton,-0.1934678019686169,51.43915274408583,46463,32.09479995579134
E01002839,47,Kensington and Chelsea,-0.1895281217040025,51.49391825957738,46510,32.12726569407604
E01002692,47,Hounslow,-0.2787322697607007,51.491688755610106,46557,32.15973143236074
E01000922,47,Camden,-0.1456681653888837,51.54982167019946,46604,32.19219717064545
E01003952,47,Southwark,-0.0768387938187698,51.45734467529931,46651,32.22466290893015
E01003194,47,Lewisham,-0.027888029313121,51.43868363971851,46698,32.257128647214856
E01033709,47,Hackney,-0.0874701657111661,51.53023418383077,46745,32.28959438549956
E01004028,47,Southwark,-0.0705033845685394,51.49887988601565,46792,32.32206012378426
E01000264,47,Barnet,-0.2531975842880566,51.6200216262593,46839,32.35452586206897
E01001336,47,Ealing,-0.373550308250898,51.49441741173444,46886,32.38699160035367
E01000489,46,Brent,-0.2233650414443152,51.54466675341065,46932,32.41876657824933
E01034150,46,Croydon,-0.0988715381979628,51.37258780261904,46978,32.450541556145005
E01000797,46,Bromley,-0.0397201349288132,51.41304784522837,47024,32.48231653404067
E01000139,46,Barnet,-0.2020901307903861,51.55831545379246,47070,32.514091511936336
E01033736,46,Greenwich,0.0691713187663763,51.4952099355251,47116,32.54586648983201
E01033875,46,Southwark,-0.0924714229068966,51.49294954428004,47162,32.57764146772767
E01003284,46,Lewisham,-0.000724985120051,51.45447476737587,47208,32.60941644562334
E01002965,46,Kingston upon Thames,-0.3059317317005389,51.40272269268727,47254,32.64119142351901
E01035652,46,Islington,-0.118441863987182,51.55849058230427,47300,32.672966401414676
E01002068,46,Haringey,-0.0621956618094299,51.58522091315898,47346,32.70474137931034
E01000964,46,Camden,-0.1850847642125247,51.54570212610466,47392,32.736516357206014
E01002236,46,Harrow,-0.3382203939083575,51.59543475085663,47438,32.76829133510168
E01004733,46,Westminster,-0.1254814695181411,51.49878451101407,47484,32.80006631299735
E01002361,46,Havering,0.2183881374683133,51.56130563012818,47530,32.83184129089302
E01002065,46,Haringey,-0.1079782603592306,51.56897952474273,47576,32.86361626878868
E01001759,46,Hackney,-0.0652983066687528,51.550462280221566,47622,32.895391246684355
E01000719,46,Bromley,0.115310940458974,51.39671242277003,47668,32.92716622458002
E01032574,46,Enfield,-0.072986731209701,51.61160636989479,47714,32.958941202475685
E01001751,46,Hackney,-0.0827034373766888,51.54266684541774,47760,32.99071618037136
E01002345,46,Havering,0.1925705074986089,51.51849582285215,47806,33.02249115826702
E01033731,46,Greenwich,0.0722336197975002,51.4914711968863,47852,33.05426613616269
E01001995,46,Haringey,-0.1564220665955825,51.59973102587704,47898,33.086041114058354
E01003193,46,Lewisham,-0.0364628405945557,51.43208821655374,47944,33.11781609195402
E01004416,46,Waltham Forest,-0.0052571631452796,51.611947168334375,47990,33.14959106984969
E01000525,46,Brent,-0.251555484328405,51.53498665714159,48036,33.18136604774536
E01000239,46,Barnet,-0.2351188396780748,51.59044223045072,48082,33.21314102564102
E01002077,46,Haringey,-0.0673304150174388,51.59521853977442,48128,33.244916003536694
E01032722,46,Southwark,-0.0939571982810619,51.49137011490861,48174,33.27669098143236
E01001498,46,Enfield,-0.1048376816682749,51.61835426962543,48220,33.308465959328025
E01001410,45,Enfield,-0.0613546061047669,51.664434260469335,48265,33.339550176834656
E01001406,45,Enfield,-0.0686575128625024,51.642917937981565,48310,33.370634394341295
E01001552,45,Enfield,-0.0361320195586685,51.68036712594966,48355,33.401718611847926
E01002447,45,Hillingdon,-0.4475154842570311,51.4886874956961,48400,33.43280282935455
E01000208,45,Barnet,-0.1671250985201256,51.58565235078489,48445,33.46388704686119
E01001822,45,Hackney,-0.0584640341807595,51.565093985553496,48490,33.49497126436782
E01035714,45,Kensington and Chelsea,-0.1814302289940841,51.48730422222439,48535,33.526055481874444
E01003973,45,Southwark,-0.0918799075611814,51.48769463505269,48580,33.557139699381075
E01002036,45,Haringey,-0.0623335733117066,51.60649158810463,48625,33.58822391688771
E01000601,45,Brent,-0.2596081458927311,51.55432959131803,48670,33.619308134394345
E01002809,45,Islington,-0.1260250045153745,51.564681806065394,48715,33.65039235190097
E01003523,45,Newham,0.0574076704945944,51.530061331110375,48760,33.6814765694076
E01001167,45,Croydon,-0.115855926666838,51.366461753035566,48805,33.71256078691424
E01004679,45,Westminster,-0.20382579094471,51.52456846167678,48850,33.74364500442087
E01003932,45,Southwark,-0.1019550629275393,51.49672971796974,48895,33.774729221927494
E01000555,45,Brent,-0.2243894089449428,51.55511688854839,48940,33.80581343943413
E01000299,45,Barnet,-0.1784492164648668,51.61485075210617,48985,33.836897656940764
E01004644,45,Wandsworth,-0.2381295575591782,51.455288098004665,49030,33.86798187444739
E01000615,45,Brent,-0.2720626453990021,51.5578565154632,49075,33.89906609195402
E01002807,45,Islington,-0.1228303627481871,51.56582079639898,49120,33.93015030946066
E01000196,45,Barnet,-0.1959093266349001,51.59846639263105,49165,33.96123452696729
E01001370,45,Ealing,-0.4013821666602009,51.50066628148983,49210,33.99231874447391
E01001676,45,Greenwich,0.1032535767024779,51.48577966095,49255,34.02340296198055
E01002749,45,Islington,-0.1001808305809212,51.5585206581942,49300,34.05448717948718
E01001011,45,Croydon,-0.1082011750436897,51.38223814793485,49345,34.085571396993814
E01003781,45,Redbridge,0.0712442273934349,51.56435563071555,49390,34.11665561450044
E01000070,45,Barking and Dagenham,0.0910267619557841,51.5452408263958,49435,34.147739832007076
E01002696,45,Islington,-0.1085627439544565,51.53610062832988,49480,34.17882404951371
E01004038,45,Southwark,-0.0654029404465664,51.487527755745845,49525,34.20990826702033
E01035672,45,Tower Hamlets,-0.0194938196632096,51.51921682624687,49570,34.24099248452697
E01002832,45,Kensington and Chelsea,-0.2015962721187107,51.51487062580589,49615,34.2720767020336
E01001866,45,Hammersmith and Fulham,-0.2108172005380194,51.495995785280265,49660,34.30316091954023
E01003023,45,Lambeth,-0.1265637880199634,51.44867651997978,49705,34.33424513704686
E01002764,45,Islington,-0.1248998108155332,51.55078219978862,49750,34.365329354553495
E01033865,45,Lambeth,-0.1253048122991356,51.48315997891993,49795,34.396413572060126
E01000969,45,Camden,-0.1886939869810937,51.55102705309004,49840,34.42749778956676
E01002912,45,Kensington and Chelsea,-0.1811701131888795,51.48447351831072,49885,34.45858200707338
E01000627,45,Brent,-0.255316395403022,51.56085025628206,49930,34.48966622458002
E01001231,44,Ealing,-0.2873881323278301,51.50380380326461,49974,34.52005968169761
E01001701,44,Greenwich,0.055466816074677,51.475876442841184,50018,34.55045313881521
E01004272,44,Tower Hamlets,-0.0244515068544633,51.51804466055035,50062,34.580846595932805
E01000092,44,Barking and Dagenham,0.1095915171747234,51.52036874799128,50106,34.611240053050395
E01004748,44,Westminster,-0.1397718124326417,51.49558820070946,50150,34.64163351016799
E01004694,44,Westminster,-0.1797990662924901,51.51200455487471,50194,34.67202696728559
E01003867,44,Richmond upon Thames,-0.3417246434128883,51.45469464747588,50238,34.702420424403186
E01002554,44,Hillingdon,-0.4809473623441935,51.51423874996104,50282,34.73281388152078
E01001673,44,Greenwich,0.0878151939029504,51.48920214479183,50326,34.763207338638374
E01003048,44,Lambeth,-0.1044544629758303,51.46587449780452,50370,34.79360079575597
E01032741,44,Havering,0.1834569625891873,51.57836891533569,50414,34.82399425287356
E01001912,44,Hammersmith and Fulham,-0.2018272352618125,51.48687951748427,50458,34.85438770999116
