LSOA code,year,Month_Num,Burglary_Count,IMD SCORE,EMPLOYMENT SCORE,EDUCATION SKILLS AND TRAINING SCORE,INCOME SCORE,BARRIERS TO HOUSING AND SERVICES SCORE,LIVING ENVIRONMENT SCORE,longitude,latitude
E01000005,2013,5,1,21.36,0.07,20.24,0.16,34.66,40.94,-0.0748212891487692,51.512525208583455
E01000005,2013,6,2,21.36,0.07,20.24,0.16,34.66,40.94,-0.0748212891487692,51.512525208583455
E01000005,2013,7,6,21.36,0.07,20.24,0.16,34.66,40.94,-0.0748212891487692,51.512525208583455
E01000005,2013,8,1,21.36,0.07,20.24,0.16,34.66,40.94,-0.0748212891487692,51.512525208583455
E01000005,2013,9,2,21.36,0.07,20.24,0.16,34.66,40.94,-0.0748212891487692,51.512525208583455
E01000005,2013,11,1,21.36,0.07,20.24,0.16,34.66,40.94,-0.0748212891487692,51.512525208583455
E01000005,2013,12,1,21.36,0.07,20.24,0.16,34.66,40.94,-0.0748212891487692,51.512525208583455
E01000005,2014,1,2,21.36,0.07,20.24,0.16,34.66,40.94,-0.0748212891487692,51.512525208583455
E01000005,2014,3,1,21.36,0.07,20.24,0.16,34.66,40.94,-0.0748212891487692,51.512525208583455
E01000005,2014,5,1,21.36,0.07,20.24,0.16,34.66,40.94,-0.0748212891487692,51.512525208583455
E01000005,2014,6,1,21.36,0.07,20.24,0.16,34.66,40.94,-0.0748212891487692,51.512525208583455
E01000005,2014,7,1,21.36,0.07,20.24,0.16,34.66,40.94,-0.0748212891487692,51.512525208583455
E01000005,2014,10,1,21.36,0.07,20.24,0.16,34.66,40.94,-0.0748212891487692,51.512525208583455
E01000005,2014,11,4,21.36,0.07,20.24,0.16,34.66,40.94,-0.0748212891487692,51.512525208583455
E01000005,2015,1,2,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2015,2,2,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2015,3,4,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2015,4,3,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2015,5,3,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2015,6,3,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2015,7,1,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2015,8,1,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2015,10,1,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2015,11,2,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2016,3,1,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2016,4,1,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2016,5,1,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2016,6,1,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2016,7,4,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2016,8,1,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2016,9,4,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2016,10,7,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2016,11,2,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2016,12,6,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2017,1,3,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2017,2,1,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2017,3,2,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2017,4,1,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2017,7,6,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2017,8,1,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2017,9,2,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2017,11,2,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2018,1,2,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2018,2,4,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
E01000005,2018,3,5,26.005,0.144,15.045,0.217,35.104,34.811,-0.0748212891487692,51.512525208583455
