LSOA code,Year,Month_Num,Burglary_Count,"Asian, Asian British or Asian Welsh: Bangladeshi","Asian, Asian British or Asian Welsh: Chinese","Asian, Asian British or Asian Welsh: Indian","Asian, Asian British or Asian Welsh: Other Asian","Asian, Asian British or Asian Welsh: Pakistani","Black, Black British, Black Welsh, Caribbean or African: African","Black, Black British, Black Welsh, Caribbean or African: Caribbean","Black, Black British, Black Welsh, Caribbean or African: Other Black",Does not apply_x,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Mixed or Multiple ethnic groups: White and Asian,Mixed or Multiple ethnic groups: White and Black African,Mixed or Multiple ethnic groups: White and Black Caribbean,Other ethnic group: Any other ethnic group,Other ethnic group: Arab,"White: English, Welsh, Scottish, Northern Irish or British",White: Gypsy or Irish Traveller,White: Irish,White: Other White,White: Roma,Does not apply_y,"L1, L2 and L3: Higher managerial, administrative and professional occupations",L10 and L11: Lower supervisory and technical occupations,L12: Semi-routine occupations,L13: Routine occupations,L14.1 and L14.2: Never worked and long-term unemployed,L15: Full-time students,"L4, L5 and L6: Lower managerial, administrative and professional occupations",L7: Intermediate occupations,L8 and L9: Small employers and own account workers,School_Count,Precise_Daylight_Hours
E01000003,2021,12,1,11,52,37,50,3,34,15,7,0,44,36,14,7,89,18,815,0,33,343,4,110,506,32,70,70,72,68,427,133,128,0.0,7.93
E01000003,2022,4,1,11,52,37,50,3,34,15,7,0,44,36,14,7,89,18,815,0,33,343,4,110,506,32,70,70,72,68,427,133,128,0.0,13.93
E01000003,2022,5,2,11,52,37,50,3,34,15,7,0,44,36,14,7,89,18,815,0,33,343,4,110,506,32,70,70,72,68,427,133,128,0.0,15.87
E01000003,2022,9,1,11,52,37,50,3,34,15,7,0,44,36,14,7,89,18,815,0,33,343,4,110,506,32,70,70,72,68,427,133,128,0.0,12.43
E01000003,2022,12,1,11,52,37,50,3,34,15,7,0,44,36,14,7,89,18,815,0,33,343,4,110,506,32,70,70,72,68,427,133,128,0.0,7.93
E01000003,2023,4,1,11,52,37,50,3,34,15,7,0,44,36,14,7,89,18,815,0,33,343,4,110,506,32,70,70,72,68,427,133,128,0.0,13.93
E01000003,2023,6,2,11,52,37,50,3,34,15,7,0,44,36,14,7,89,18,815,0,33,343,4,110,506,32,70,70,72,68,427,133,128,0.0,16.37
E01000003,2023,8,1,11,52,37,50,3,34,15,7,0,44,36,14,7,89,18,815,0,33,343,4,110,506,32,70,70,72,68,427,133,128,0.0,14.4
E01000003,2023,9,5,11,52,37,50,3,34,15,7,0,44,36,14,7,89,18,815,0,33,343,4,110,506,32,70,70,72,68,427,133,128,0.0,12.43
E01000003,2023,11,1,11,52,37,50,3,34,15,7,0,44,36,14,7,89,18,815,0,33,343,4,110,506,32,70,70,72,68,427,133,128,0.0,8.4
E01000003,2023,12,1,11,52,37,50,3,34,15,7,0,44,36,14,7,89,18,815,0,33,343,4,110,506,32,70,70,72,68,427,133,128,0.0,7.93
E01000003,2024,2,1,11,52,37,50,3,34,15,7,0,44,36,14,7,89,18,815,0,33,343,4,110,506,32,70,70,72,68,427,133,128,0.0,9.93
E01000003,2024,3,2,11,52,37,50,3,34,15,7,0,44,36,14,7,89,18,815,0,33,343,4,110,506,32,70,70,72,68,427,133,128,0.0,11.93
E01000003,2024,4,1,11,52,37,50,3,34,15,7,0,44,36,14,7,89,18,815,0,33,343,4,110,506,32,70,70,72,68,427,133,128,0.0,13.93
E01000003,2024,5,6,11,52,37,50,3,34,15,7,0,44,36,14,7,89,18,815,0,33,343,4,110,506,32,70,70,72,68,427,133,128,0.0,15.87
E01000003,2024,11,1,11,52,37,50,3,34,15,7,0,44,36,14,7,89,18,815,0,33,343,4,110,506,32,70,70,72,68,427,133,128,0.0,8.4
E01000005,2016,5,1,263,35,24,31,1,77,27,15,0,32,16,11,20,101,24,255,0,17,148,4,139,144,42,102,103,151,163,140,60,57,0.0,15.87
E01000005,2016,6,1,263,35,24,31,1,77,27,15,0,32,16,11,20,101,24,255,0,17,148,4,139,144,42,102,103,151,163,140,60,57,0.0,16.37
E01000005,2016,7,4,263,35,24,31,1,77,27,15,0,32,16,11,20,101,24,255,0,17,148,4,139,144,42,102,103,151,163,140,60,57,0.0,15.8
E01000005,2016,8,1,263,35,24,31,1,77,27,15,0,32,16,11,20,101,24,255,0,17,148,4,139,144,42,102,103,151,163,140,60,57,0.0,14.4
E01000005,2016,9,4,263,35,24,31,1,77,27,15,0,32,16,11,20,101,24,255,0,17,148,4,139,144,42,102,103,151,163,140,60,57,0.0,12.43
E01000005,2016,10,7,263,35,24,31,1,77,27,15,0,32,16,11,20,101,24,255,0,17,148,4,139,144,42,102,103,151,163,140,60,57,0.0,10.5
E01000005,2016,11,2,263,35,24,31,1,77,27,15,0,32,16,11,20,101,24,255,0,17,148,4,139,144,42,102,103,151,163,140,60,57,0.0,8.4
E01000005,2016,12,6,263,35,24,31,1,77,27,15,0,32,16,11,20,101,24,255,0,17,148,4,139,144,42,102,103,151,163,140,60,57,0.0,7.93
E01000005,2017,1,3,263,35,24,31,1,77,27,15,0,32,16,11,20,101,24,255,0,17,148,4,139,144,42,102,103,151,163,140,60,57,0.0,8.07
E01000005,2017,2,1,263,35,24,31,1,77,27,15,0,32,16,11,20,101,24,255,0,17,148,4,139,144,42,102,103,151,163,140,60,57,0.0,9.93
E01000005,2017,3,2,263,35,24,31,1,77,27,15,0,32,16,11,20,101,24,255,0,17,148,4,139,144,42,102,103,151,163,140,60,57,0.0,11.93
E01000005,2017,4,1,263,35,24,31,1,77,27,15,0,32,16,11,20,101,24,255,0,17,148,4,139,144,42,102,103,151,163,140,60,57,0.0,13.93
E01000005,2017,7,6,263,35,24,31,1,77,27,15,0,32,16,11,20,101,24,255,0,17,148,4,139,144,42,102,103,151,163,140,60,57,0.0,15.8
