LSOA21CD,Latitude,Longitude
E01000646,51.40595,0.036929
E01000647,51.40468,0.031912
E01000648,51.40068,0.038175
E01000649,51.40265,0.052957
E01000650,51.39543,0.050521
E01000651,51.39709,0.043134
E01000652,51.39284,0.054588
E01000653,51.41035,0.03455
E01000654,51.30076,0.017795
E01000655,51.30606,0.019463
E01000656,51.32006,0.017438
E01000657,51.31359,0.032781
E01000658,51.32507,0.033949
E01000659,51.31103,0.023628
E01000661,51.38374,0.038516
E01000662,51.3858,0.05091
E01000663,51.38459,0.060916
E01000664,51.37988,0.052787
E01000665,51.37718,0.043872
E01000666,51.36046,0.03372
E01000667,51.36617,0.047218
E01000668,51.39154,0.027866
E01000669,51.39101,0.038149
E01000670,51.39567,0.015945
E01000671,51.3958,0.028442
E01000672,51.41517,0.001702
E01000673,51.4111,-0.00122
E01000674,51.41076,0.007319
E01000676,51.40721,0.011333
E01000677,51.40406,0.00865
E01000678,51.40019,0.023935
E01000679,51.39673,0.033529
E01000680,51.35125,0.120916
E01000681,51.36735,0.087238
E01000682,51.36142,0.084096
E01000683,51.36496,0.09062
E01000684,51.36041,0.098126
E01000685,51.35978,0.112519
E01000686,51.35882,0.091978
E01000687,51.35108,0.09243
E01000688,51.35021,0.104209
E01000689,51.42365,0.079531
E01000690,51.4245,0.068508
E01000691,51.42273,0.061869
E01000692,51.41889,0.06939
E01000693,51.41497,0.089491
E01000694,51.41876,0.047739
E01000695,51.41565,0.057954
E01000696,51.40745,0.070239
E01000697,51.4086,0.060125
E01000698,51.40021,0.088646
E01000699,51.40648,-0.06026
E01000700,51.40614,-0.04571
E01000701,51.40645,-0.05212
E01000702,51.40881,-0.0469
E01000703,51.40657,-0.03758
E01000704,51.40244,-0.05786
E01000705,51.40414,-0.06479
E01000706,51.40205,-0.05003
E01000707,51.40405,-0.03917
E01000708,51.40123,-0.0427
E01000709,51.41077,-0.03441
E01000710,51.41622,-0.02805
E01000711,51.41319,-0.03034
E01000712,51.41289,-0.01988
E01000713,51.41082,-0.01038
E01000714,51.40874,-0.02762
E01000715,51.40719,-0.01622
E01000716,51.40474,-0.01044
E01000717,51.40471,-0.00396
E01000718,51.42096,-0.02648
E01000719,51.39632,0.117164
E01000720,51.387,0.13973
E01000721,51.39192,0.121776
E01000722,51.39078,0.108801
E01000723,51.37835,0.123994
E01000724,51.38743,0.120893
E01000725,51.38584,0.10968
E01000726,51.38446,0.115395
E01000727,51.38331,0.098971
E01000728,51.40625,0.129024
E01000729,51.40544,0.10831
E01000730,51.39756,0.108609
E01000731,51.39631,0.097899
E01000732,51.39028,0.093728
E01000733,51.39125,0.10027
E01000734,51.3874,0.099173
E01000735,51.4115,0.109164
E01000736,51.40605,0.092938
E01000737,51.40573,0.099552
E01000738,51.40279,0.112876
E01000739,51.40102,0.105634
E01000741,51.41472,-0.07355
E01000742,51.41738,-0.06537
E01000743,51.41051,-0.06778
E01000744,51.40662,-0.0686
E01000745,51.42195,-0.06142
E01000746,51.41726,-0.07752
E01000747,51.3333,0.014287
E01000748,51.30777,0.064332
E01000749,51.34026,0.076287
E01000750,51.36356,0.069684
E01000751,51.35927,0.056635
E01000752,51.35861,0.073626
E01000753,51.37438,0.069367
E01000754,51.37606,0.083668
E01000755,51.37488,0.077062
E01000756,51.37123,0.058449
E01000757,51.36951,0.075167
E01000758,51.36972,0.0845
E01000759,51.35892,-0.00548
